Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,Energy Consumption,INFLATION RATE,EU Index
Brazil,BRA,1971,0.6601203,2.619682,453.9099414,,
Brazil,BRA,1972,0.702803,2.6319802,492.4581099,,
Brazil,BRA,1973,0.7730312,2.6443944,547.0984259,,
Brazil,BRA,1974,0.84080476,2.6571624,596.652237,,
Brazil,BRA,1975,0.8816819,2.6711435,642.6004513,,
Brazil,BRA,1976,0.85963243,2.6864538,712.3774865,,
Brazil,BRA,1977,0.87789357,2.702705,779.7181752,,
Brazil,BRA,1978,0.9290684,2.7196665,848.9223386,,
Brazil,BRA,1979,0.95795107,2.7361135,929.3303173,,
Brazil,BRA,1980,0.95568454,2.7517588,1003.398663,,
Brazil,BRA,1981,0.9009039,2.766373,1008.508081,,
Brazil,BRA,1982,0.9090713,2.7791998,1043.032061,,
Brazil,BRA,1983,0.8738053,2.7915733,1098.777598,,
Brazil,BRA,1984,0.8531197,2.8034625,1195.036701,,
Brazil,BRA,1985,0.8870208,2.8134668,1268.898705,,
Brazil,BRA,1986,0.9571188,2.821042,1339.619776,,
Brazil,BRA,1987,0.969452,2.8261597,1352.986978,,
Brazil,BRA,1988,0.94076025,2.830196,1403.734409,,
Brazil,BRA,1989,0.9476355,2.8333042,1433.521015,,
Brazil,BRA,1990,0.96102,2.8348658,1444.251429,,
Brazil,BRA,1991,0.98751265,2.8362832,1469.859302,432.7866619,108
Brazil,BRA,1992,1.035135,2.838334,1478.331187,951.9620531,80
Brazil,BRA,1993,1.0715951,2.8407485,1522.14509,1927.38079,93
Brazil,BRA,1994,1.1026893,2.8438125,1551.697525,2075.888398,85
Brazil,BRA,1995,1.1421205,2.8471022,1619.450624,66.00703355,48
Brazil,BRA,1996,1.1930271,2.8503516,1672.631979,15.7576656,53
Brazil,BRA,1997,1.2581965,2.853589,1748.423361,6.926712516,64
Brazil,BRA,1998,1.3043431,2.8567042,1795.079232,3.195076293,81
Brazil,BRA,1999,1.3178009,2.8591492,1820.045932,4.858447499,80
Brazil,BRA,2000,1.3339837,2.8602474,1885.665465,7.044141059,91
Brazil,BRA,2001,1.3482646,2.860201,1737.976157,6.840359025,106
Brazil,BRA,2002,1.3249055,2.8590784,1797.268162,8.450164377,124
Brazil,BRA,2003,1.2465165,2.8563056,1873.812369,14.71491972,108
Brazil,BRA,2004,1.2628635,2.852519,1948.58174,6.5971851,116
Brazil,BRA,2005,1.2313117,2.8483124,2008.56721,6.869537209,120
Brazil,BRA,2006,1.2052337,2.8430786,2065.192202,4.183568129,97
Brazil,BRA,2007,1.2399247,2.8364692,2160.232633,3.641272991,114
Brazil,BRA,2008,1.2878075,2.8285923,2222.415792,5.678593903,174
Brazil,BRA,2009,1.2376455,2.8197873,2189.997778,4.888034799,131
Brazil,BRA,2010,1.321878,2.810831,2366.38012,5.038726901,93
Brazil,BRA,2011,1.3432852,2.801948,2422.576221,6.636449622,134
Brazil,BRA,2012,1.4263705,2.7923226,2492.837864,5.40349914,118
Brazil,BRA,2013,1.5111573,2.7821417,2560.09556,6.204310666,138
Brazil,BRA,2014,1.57305,2.7723024,2610.999282,6.329040155,149
China,CHN,1971,5.864815,22.367346,151.9893473,,
China,CHN,1972,5.970655,22.441746,163.9119288,,
China,CHN,1973,5.902143,22.489683,175.933737,,
China,CHN,1974,6.04431,22.50942,174.2333537,,
China,CHN,1975,6.939686,22.487745,199.0397154,,
China,CHN,1976,6.8190417,22.435116,204.0303647,,
China,CHN,1977,7.249831,22.358448,220.6570531,,
China,CHN,1978,7.830368,22.266088,246.5557723,,
China,CHN,1979,7.782794,22.18029,267.3742654,,
China,CHN,1980,7.6709886,22.105553,281.6246873,,
