Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,INFLATION RATE_normalized,EU Index_normalized,Energy Consumption_normalized
Brazil,BRA,1971,0.6601203,2.619682,,,0.0
Brazil,BRA,1972,0.702803,2.6319802,,,0.017870455235422817
Brazil,BRA,1973,0.7730312,2.6443944,,,0.04320103147609057
Brazil,BRA,1974,0.84080476,2.6571624,,,0.06617356681216359
Brazil,BRA,1975,0.8816819,2.6711435,,,0.08747459196451977
Brazil,BRA,1976,0.85963243,2.6864538,,,0.1198223644404578
Brazil,BRA,1977,0.87789357,2.702705,,,0.15104067674330798
Brazil,BRA,1978,0.9290684,2.7196665,,,0.18312287292195611
Brazil,BRA,1979,0.95795107,2.7361135,,,0.22039901961953998
Brazil,BRA,1980,0.95568454,2.7517588,,,0.25473619068886516
Brazil,BRA,1981,0.9009039,2.766373,,,0.25710485382387405
Brazil,BRA,1982,0.9090713,2.7791998,,,0.27310974492884665
Brazil,BRA,1983,0.8738053,2.7915733,,,0.29895268798677954
Brazil,BRA,1984,0.8531197,2.8034625,,,0.34357722030829446
Brazil,BRA,1985,0.8870208,2.8134668,,,0.377818733911739
Brazil,BRA,1986,0.9571188,2.821042,,,0.4106041497352341
Brazil,BRA,1987,0.969452,2.8261597,,,0.4168010196322787
Brazil,BRA,1988,0.94076025,2.830196,,,0.440326902424822
Brazil,BRA,1989,0.9476355,2.8333042,,,0.4541356054021937
Brazil,BRA,1990,0.96102,2.8348658,,,0.4591100929201818
Brazil,BRA,1991,0.98751265,2.8362832,0.20726249325356197,0.47619047619047616,0.4709815868439695
Brazil,BRA,1992,1.035135,2.838334,0.4577459515456091,0.25396825396825395,0.47490904818761676
Brazil,BRA,1993,1.0715951,2.8407485,0.9283504190201692,0.35714285714285715,0.4952206329585159
Brazil,BRA,1994,1.1026893,2.8438125,1.0,0.29365079365079366,0.5089207771499382
Brazil,BRA,1995,1.1421205,2.8471022,0.030304510850293183,0.0,0.5403302777787599
Brazil,BRA,1996,1.1930271,2.8503516,0.006060997628271353,0.03968253968253968,0.5649844977032843
Brazil,BRA,1997,1.2581965,2.853589,0.0018003802993521256,0.12698412698412698,0.6001204471391656
Brazil,BRA,1998,1.3043431,2.8567042,0.0,0.2619047619047619,0.6217495332052172
Brazil,BRA,1999,1.3178009,2.8591492,0.0008025167971449361,0.25396825396825395,0.633323787238226
Brazil,BRA,2000,1.3339837,2.8602474,0.0018570353489777449,0.3412698412698413,0.6637441929974738
Brazil,BRA,2001,1.3482646,2.860201,0.0017587178449525124,0.4603174603174603,0.5952772522823897
Brazil,BRA,2002,1.3249055,2.8590784,0.002535391043607015,0.6031746031746031,0.622764294142004
Brazil,BRA,2003,1.2465165,2.8563056,0.00555791023512955,0.47619047619047616,0.6582492439580876
Brazil,BRA,2004,1.2628635,2.852519,0.0016413951699319118,0.5396825396825397,0.6929114017058992
Brazil,BRA,2005,1.2313117,2.8483124,0.0017727952695741009,0.5714285714285714,0.7207199253822133
Brazil,BRA,2006,1.2052337,2.8430786,0.0004769117677215806,0.3888888888888889,0.7469705729257452
Brazil,BRA,2007,1.2399247,2.8364692,0.00021527386291404055,0.5238095238095238,0.7910301439463706
Brazil,BRA,2008,1.2878075,2.8285923,0.0011982079471142694,1.0,0.8198574891237861
Brazil,BRA,2009,1.2376455,2.8197873,0.0008167916055259619,0.6587301587301587,0.8048288978689693
Brazil,BRA,2010,1.321878,2.810831,0.0008894951263130583,0.35714285714285715,0.886597575076812
Brazil,BRA,2011,1.3432852,2.801948,0.0016603388899645807,0.6825396825396826,0.9126493940452229
Brazil,BRA,2012,1.4263705,2.7923226,0.0010654846155345441,0.5555555555555556,0.9452218247172213
Brazil,BRA,2013,1.5111573,2.7821417,0.001451847382092058,0.7142857142857143,0.9764016626284746
Brazil,BRA,2014,1.57305,2.7723024,0.0015120248756429503,0.8015873015873016,1.0
China,CHN,1971,5.864815,22.367346,,,0.0
China,CHN,1972,5.970655,22.441746,,,0.0031765357846802855
China,CHN,1973,5.902143,22.489683,,,0.00637950855897945
China,CHN,1974,6.04431,22.50942,,,0.0059264750946980155
China,CHN,1975,6.939686,22.487745,,,0.012535639026835734
China,CHN,1976,6.8190417,22.435116,,,0.013865298722618867
China,CHN,1977,7.249831,22.358448,,,0.018295150653874576
China,CHN,1978,7.830368,22.266088,,,0.025195351614227524
China,CHN,1979,7.782794,22.18029,,,0.030742026913974447
China,CHN,1980,7.6709886,22.105553,,,0.03453876968416575
China,CHN,1981,7.764062,22.040699,,,0.0356559350691059
China,CHN,1982,8.516051,21.994066,,,0.039220810109679434
China,CHN,1983,8.9235525,21.936323,,,0.043969218644604714
China,CHN,1984,9.392391,21.863653,,,0.04913566884687078
